,id,im_1,im_2,im_1_local,im_2_local,cap_1,cap_2,category_1,category_2,BiomedCLIP_sim,DINO_sim,question,option_A,option_B,im_1_correct,im_2_correct,AI_question,AI_option_A,AI_option_B
0,10001,train/radiology/images/ROCO_28778.jpg,train/radiology/images/ROCO_62117.jpg,20192,20053, Selective injection in the left internal carotid artery on digital subtraction angiography showing the internal carotid artery terminating into the ophthalmic artery with no contribution to cerebral vasculature.," After 1 week, repeated cerebral angiogram showed the pseudoaneurysm changed more aggravating appearance.","['Cerebral', 'Vascular']","['Cerebral', 'Vascular']",0.9245057,0.6720365,What do you see on this angiogram of the internal carotid artery?,Terminating into the ophthalmic artery with no cerebral contribution,Showing an aggravating pseudoaneurysm,A,B,What is the condition of the internal carotid artery visible in the angiogram?,Terminating into the ophthalmic artery with no cerebral contribution,Showing an aggravating pseudoaneurysm
1,10002,train/radiology/images/ROCO_28778.jpg,train/radiology/images/ROCO_38225.jpg,20192,20014, Selective injection in the left internal carotid artery on digital subtraction angiography showing the internal carotid artery terminating into the ophthalmic artery with no contribution to cerebral vasculature., Total occlusion of the horizontal portion of the left middle cerebral artery is clear on emergent cerebral angiogram.,"['Cerebral', 'Vascular']","['Cerebral', 'Vascular']",0.9274287,0.4741046,Where does the internal carotid artery terminate on this angiogram?,It is totally occluded.,It terminates into the ophthalmic artery with no cerebral contribution.,B,A,What is the status of the left internal carotid artery's contribution to cerebral vasculature?,It is totally occluded.,It terminates into the ophthalmic artery with no cerebral contribution.
2,10003,train/radiology/images/ROCO_38225.jpg,train/radiology/images/ROCO_56053.jpg,20014,20040, Total occlusion of the horizontal portion of the left middle cerebral artery is clear on emergent cerebral angiogram., DSA in AP (2a) and lateral (2b) projections showing an approximately 9 × 9 mm left PICA aneurysm (black arrow) located at the level of the caudal loop (tonsillomedullary segment). The aneurysm appears to have both intracranial (1) and extracranial (2) components in Figure 2b,"['Cerebral', 'Vascular']","['Cerebral', 'Vascular']",0.9177013,0.6095232,What specific vascular pathology is observed in the image?,Total occlusion of the left middle cerebral artery,Presence of a left PICA aneurysm,A,B,What specific vascular pathology is observed in the image?,Total occlusion of the left middle cerebral artery,Presence of a left PICA aneurysm
3,10004,train/radiology/images/ROCO_20285.jpg,train/radiology/images/ROCO_56053.jpg,20069,20040," Digital subtraction angiography, right internal carotid artery injection showing partially thrombosed anterior com artery aneurysm (white arrow)", DSA in AP (2a) and lateral (2b) projections showing an approximately 9 × 9 mm left PICA aneurysm (black arrow) located at the level of the caudal loop (tonsillomedullary segment). The aneurysm appears to have both intracranial (1) and extracranial (2) components in Figure 2b,"['Cerebral', 'Vascular']","['Cerebral', 'Vascular']",0.9073893,0.5917044,What is the location of the aneurysm depicted in the digital subtraction angiography?,Anterior communicating artery,Posterior inferior cerebellar artery,A,B,What is the location of the aneurysm depicted in the digital subtraction angiography?,Anterior communicating artery,Posterior inferior cerebellar artery
4,10005,train/radiology/images/ROCO_24437.jpg,train/radiology/images/ROCO_35078.jpg,20142,20058, Digital substraction angiography shows coiling of anterior communicating artery and left middle cerebral artery bifurcation aneurysm, Angiogram of the right internal carotid artery. Coil embolization of the pseudoaneurysm and successfully deployed endovascular stent.,"['Cerebral', 'Vascular']","['Cerebral', 'Vascular']",0.9020534,0.556334,Which artery has undergone coiling for an aneurysm?,Internal carotid artery,Anterior communicating artery,B,A,Which artery has undergone coiling for an aneurysm?,Right internal carotid artery,Anterior communicating artery
5,10006,train/radiology/images/ROCO_20285.jpg,train/radiology/images/ROCO_36456.jpg,20069,20177," Digital subtraction angiography, right internal carotid artery injection showing partially thrombosed anterior com artery aneurysm (white arrow)", Example patient 1's pre-intervention angiography. Pre-intervention angiography of proximal basilar artery demonstrating critical stenosis,"['Cerebral', 'Vascular']","['Cerebral', 'Vascular']",0.9000483,0.6433903,What is the primary vascular abnormality shown in the angiography?,Critical stenosis,Partially thrombosed aneurysm,B,A,What is the primary vascular abnormality shown in the angiography?,Critical stenosis,Partially thrombosed aneurysm
6,10007,train/radiology/images/ROCO_34001.jpg,validation/radiology/images/ROCO_32831.jpg,20066,20081, Preoperative T1 sagittal magnetic resonance imaging scan demonstrating an inferiorly bowed floor of the third ventricle, Postoperative (sagittal) image of same patient showing normal aerated sphenoid with no residual lesion,"['Cerebral', 'Head and Neck']","['Cerebral', 'Head and Neck']",0.9234865,0.6980472,What is the appearance of the floor of the third ventricle?,Normal,Inferiorly bowed,B,A,What is the appearance of the floor of the third ventricle?,Normal,Inferiorly bowed
7,10008,test/radiology/images/ROCO_43209.jpg,train/radiology/images/ROCO_38225.jpg,20113,20014, Artériographie carotidienne gauche montrant au temps artériel une fistule carotido-caverneuse avec opacification précoce des sinus caverneux, Total occlusion of the horizontal portion of the left middle cerebral artery is clear on emergent cerebral angiogram.,"['Cerebral', 'Vascular']","['Cerebral', 'Vascular']",0.9064154,0.5495858,What is the primary abnormality visible in the image?,Fistula carotido-caverneuse,Total occlusion of the middle cerebral artery,A,B,What is the primary abnormality visible in the image?,Fistula carotido-caverneuse,Total occlusion of the middle cerebral artery
8,10009,train/radiology/images/ROCO_12537.jpg,train/radiology/images/ROCO_26019.jpg,20027,20157, Magnetic Resonance Imaging of Brain Sagittal Section of T1 Sequence Showing Cerebellar Cortical Atrophy.No white matter changes in the cerebellar peduncle, Mid-sagittal T1 weighted MRI of the brain shows tonsillar herniation to the level of C3. There is effacement of the fourth ventricle and Triventricular hydrocephalus.,['Cerebral'],"['Cerebral', 'Head and Neck', 'Spinal']",0.904861,0.6281764,What condition is observed regarding the fourth ventricle?,No effacement of the fourth ventricle,Effacement of the fourth ventricle,A,B,What condition is observed regarding the fourth ventricle?,No effacement of the fourth ventricle,Effacement of the fourth ventricle
9,10010,train/radiology/images/ROCO_07207.jpg,train/radiology/images/ROCO_26019.jpg,20218,20157, Sagittal T1 weighted image demonstrates herniation of the cerebellar tonsils 2.2 cm below the foramen magnum with downward pointing., Mid-sagittal T1 weighted MRI of the brain shows tonsillar herniation to the level of C3. There is effacement of the fourth ventricle and Triventricular hydrocephalus.,"['Cerebral', 'Head and Neck']","['Cerebral', 'Head and Neck', 'Spinal']",0.9039332,0.5982679,What is the extent of cerebellar tonsillar herniation below the foramen magnum?,To the level of C2,To the level of C3,A,B,What is the extent of cerebellar tonsillar herniation below the foramen magnum?,2.2 cm,To the level of C3
